GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
3201,0.0,0.0,-0.0,-0.0,0.0,0.0,-155.77,272.44,0.0,-0.0,-195.29,-23.54,116.67,-218.84,-102.16
3251,0.0,0.0,0.0,0.0,-0.0,0.0,-144.32,445.41,-0.0,-0.0,-368.91,-20.49,301.09,-389.4,-88.31
3301,0.0,0.0,0.0,0.0,0.0,0.0,-143.47,394.79,-0.0,-0.0,-319.14,-21.93,251.31,-341.07,-89.75
3351,-0.0,0.0,0.0,0.0,-0.0,0.0,-155.53,432.34,-0.0,-0.0,-341.01,-23.06,276.82,-364.07,-87.26
3401,-0.0,0.0,0.0,0.0,-0.0,-0.0,-162.69,409.36,0.0,0.0,-327.62,-24.08,246.67,-351.7,-105.02
3451,0.0,-0.0,-0.0,0.0,0.0,0.0,-153.46,432.54,0.0,0.0,-352.85,-22.78,279.08,-375.63,-96.55
3501,0.0,0.0,-0.0,0.0,0.0,0.0,-145.3,384.59,0.0,0.0,-311.77,-23.22,239.3,-334.98,-95.69
3551,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-154.53,502.18,0.0,0.0,-417.35,-22.88,347.65,-440.23,-92.58
3601,0.0,-0.0,0.0,0.0,0.0,-0.0,-143.71,397.82,0.0,0.0,-336.72,-23.13,254.11,-359.86,-105.75
3651,0.0,-0.0,-0.0,0.0,0.0,0.0,-151.36,323.04,0.0,0.0,-252.46,-23.35,171.67,-275.81,-104.13
3701,0.0,0.0,0.0,0.0,0.0,0.0,-160.97,335.47,-0.0,-0.0,-272.35,-25.08,174.49,-297.43,-122.93
3751,0.0,0.0,0.0,0.0,0.0,-0.0,-156.47,189.52,0.0,0.0,-122.3,-24.44,33.05,-146.74,-113.68
3801,0.0,0.0,-0.0,0.0,0.0,-0.0,-154.84,180.28,0.0,0.0,-110.21,-24.17,25.44,-134.38,-108.94
3851,0.0,0.0,-0.0,-0.0,-0.0,0.0,-161.58,403.09,0.0,-0.0,-331.8,-22.89,241.5,-354.69,-113.19
3901,-0.0,0.0,-0.0,0.0,-0.0,0.0,-145.83,297.87,0.0,0.0,-226.61,-23.18,152.04,-249.8,-97.76
3951,-0.0,0.0,0.0,0.0,0.0,0.0,-141.52,255.39,0.0,0.0,-191.81,-22.38,113.88,-214.2,-100.32
4001,0.0,0.0,0.0,0.0,-0.0,0.0,-167.5,242.57,0.0,0.0,-166.93,-24.91,75.07,-191.84,-116.77
4051,-0.0,0.0,-0.0,0.0,-0.0,0.0,-144.13,301.99,-0.0,0.0,-239.54,-22.68,157.86,-262.22,-104.36
4101,0.0,0.0,0.0,0.0,-0.0,0.0,-161.55,308.11,0.0,0.0,-236.33,-25.27,146.56,-261.6,-115.03
4151,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-151.92,329.09,0.0,0.0,-251.9,-23.15,177.17,-275.05,-97.89
