snapshot,time_ns,pock_volume,pock_asa,pock_pol_asa,pock_apol_asa,pock_asa22,pock_pol_asa22,pock_apol_asa22,nb_AS,mean_as_ray,mean_as_solv_acc,apol_as_prop,mean_loc_hyd_dens,hydrophobicity_score,volume_score,polarity_score,charge_score,prop_polar_atm,as_density,as_max_dst,convex_hull_volume,nb_abpa,ALA,ARG,ASN,ASP,CYS,GLN,GLU,GLY,HIS,ILE,LEU,LYS,MET,PHE,PRO,SER,THR,TRP,TYR,VAL
48.0,2.4000000000000004,228.73,147.19,73.52,73.67,123.04,77.16,45.87,73.0,4.15,0.6,0.71,48.19,8.83,5.5,6.0,1.0,33.33,1.75,5.26,3.55,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
49.0,2.45,367.55,196.71,83.19,113.52,160.83,80.56,80.28,58.0,4.34,0.7,0.67,34.77,1.0,5.14,6.0,1.0,34.78,2.04,8.09,19.03,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
50.0,2.5,316.04,116.74,56.36,60.38,98.03,57.89,40.14,45.0,4.04,0.72,0.56,21.92,20.25,6.25,4.0,0.0,33.33,2.67,6.28,13.64,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
51.0,2.5500000000000003,242.66,108.05,16.27,91.78,77.93,5.3,72.63,62.0,4.16,0.67,0.68,38.38,13.86,4.71,5.0,0.0,22.22,2.21,4.39,4.12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
52.0,2.6,216.73,132.47,43.1,89.36,101.67,36.69,64.99,86.0,4.26,0.71,0.72,57.9,13.4,5.2,5.0,0.0,30.0,1.43,3.99,3.01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
53.0,2.6500000000000004,240.04,127.27,46.36,80.91,97.13,43.62,53.52,72.0,4.09,0.62,0.6,38.88,3.5,4.83,5.0,0.0,36.84,1.63,4.45,6.49,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
54.0,2.7,197.55,125.35,22.7,102.65,90.51,14.05,76.45,98.0,4.22,0.63,0.9,83.86,13.86,4.71,5.0,0.0,23.81,1.42,3.84,3.68,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
55.0,2.75,233.9,99.93,31.09,68.83,94.4,31.33,63.07,46.0,4.11,0.75,0.3,9.29,13.4,5.2,5.0,0.0,28.57,1.85,3.95,2.81,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
56.0,2.8000000000000003,229.38,122.85,33.48,89.36,102.07,33.27,68.81,46.0,4.44,0.82,0.33,11.73,23.83,5.0,5.0,0.0,31.25,1.02,3.2,1.66,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
57.0,2.85,261.57,127.49,23.64,103.86,83.09,10.46,72.63,61.0,4.22,0.51,0.97,54.98,33.2,4.8,4.0,-1.0,26.67,1.89,5.47,5.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
58.0,2.9000000000000004,368.95,236.87,87.12,149.75,184.36,90.71,93.66,75.0,4.24,0.51,0.91,64.5,24.25,4.75,5.0,0.0,34.62,2.69,6.32,29.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
59.0,2.95,305.08,160.29,51.61,108.69,116.11,43.47,72.63,93.0,3.92,0.46,0.6,51.18,23.83,5.0,5.0,0.0,33.33,2.08,7.25,17.29,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
60.0,3.0,152.92,164.29,56.81,107.48,84.3,36.52,47.78,30.0,3.95,0.37,0.77,19.65,13.4,5.2,5.0,0.0,38.46,1.63,3.76,3.24,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
